Rank,Release Group,Worldwide,Domestic,percent,Foreign,percent2
1,Barbie,1434220354,633320354,0.442,800900000,0.558
2,The Super Mario Bros. Movie,1360108603,574934330,0.423,785174273,0.577
3,Oppenheimer,933946980,322602980,0.345,611344000,0.655
4,Guardians of the Galaxy Vol. 3,845555777,358995815,0.425,486559962,0.575
5,Fast X,704709660,145960660,0.207,558749000,0.793
6,Spider-Man: Across the Spider-Verse,689935201,381311319,0.553,308623882,0.447
7,The Little Mermaid,569626289,298172056,0.523,271454233,0.477
8,Mission: Impossible - Dead Reckoning Part One,567535383,172135383,0.303,395400000,0.697
9,Elemental,490935101,154426697,0.315,336508404,0.685
10,Ant-Man and the Wasp: Quantumania,476071180,214504909,0.451,261566271,0.549
11,Transformers: Rise of the Beasts,438966392,157066392,0.358,281900000,0.642
12,John Wick: Chapter 4,428471898,187131806,0.437,241340092,0.563
13,Meg 2: The Trench,394943689,82543689,0.209,312400000,0.791
14,Indiana Jones and the Dial of Destiny,383229928,174480468,0.455,208749460,0.545
15,Creed III,275248615,156248615,0.568,119000000,0.432
16,The Flash,270633313,108133313,0.4,162500000,0.6
17,The Nun II,233600352,77800352,0.333,155800000,0.667
18,Sound of Freedom,230684308,183992300,0.798,46692008,0.202
19,Dungeons & Dragons: Honor Among Thieves,208177026,93277026,0.448,114900000,0.552
20,Insidious: The Red Door,188587682,82156962,0.436,106430720,0.564
21,Teenage Mutant Ninja Turtles: Mutant Mayhem,176793280,117593280,0.665,59200000,0.335
22,Scream VI,168961389,108161389,0.64,60800000,0.36
23,The Equalizer 3,158933602,86533602,0.544,72400000,0.456
24,Evil Dead Rise,146733054,67233054,0.458,79500000,0.542
25,Shazam! Fury of the Gods,133838006,57638006,0.431,76200000,0.569
26,Pathaan,128780000,17487476,0.136,95095974,0.738
27,Blue Beetle,127452053,71152053,0.558,56300000,0.442
28,Gran Turismo,114914480,42914480,0.373,72000000,0.627
29,Haunted Mansion,114407973,67219349,0.588,47188624,0.412
30,Detective Conan: Black Iron Submarine,106509441,0,0,106509441,1
31,A Haunting in Venice,90774944,32257239,0.355,58517705,0.645
32,Air,90060106,52460106,0.583,37600000,0.417
33,Talk to Me,88460757,47962933,0.542,40497824,0.458
34,Cocaine Bear,87649594,64388510,0.735,23261084,0.265
35,No Hard Feelings,87078275,50452282,0.579,36625993,0.421
36,The Roundup: No Way Out,83423445,909411,0.011,82514034,0.989
37,The Pope's Exorcist,76662502,20009380,0.261,56653122,0.739
38,Plane,74191973,32111181,0.433,42080792,0.567
39,Titanic 25 Year Anniversary,70157472,15033795,0.214,55123677,0.786
40,The Boogeyman,67307243,43244282,0.642,24062961,0.358
41,65,60730568,32062904,0.528,28667664,0.472
42,Magic Mike's Last Dance,57105156,26005156,0.455,31100000,0.545
43,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,56119404,10117806,0.18,46001598,0.82
44,The Boy and the Heron,55627856,0,0,55627856,1
45,Knock at the Cabin,54760947,35397980,0.646,19362967,0.354
46,Mummies,54375970,4275970,0.079,50100000,0.921
47,Jesus Revolution,53495248,52102987,0.974,1392261,0.026
48,Asteroid City,52447025,28153025,0.537,24294000,0.463
49,PAW Patrol: The Mighty Movie,49775107,25375107,0.51,24400000,0.49
50,Missing,48767848,32502025,0.666,16265823,0.334
51,Asterix & Obelix: The Middle Kingdom,46493927,0,0,46493927,1
52,"Ruby Gillman, Teenage Kraken",43879491,15753600,0.359,28125891,0.641
53,80 for Brady,40362938,39330588,0.974,1032350,0.026
54,Operation Fortune: Ruse de Guerre,38165964,6496125,0.17,31669839,0.83
55,Doraemon the Movie: Nobita's Sky Utopia,37475850,0,0,37475850,1
56,Smugglers,37108690,0,0,37108690,1
57,"Miraculous: Ladybug & Cat Noir, the Movie",37099976,0,0,37099976,1
58,Kingdom 3,36259522,0,0,36259522,1
59,Ride On,36232675,128950,0.004,36103725,0.996
60,The Creator,35334657,16985576,0.481,18349081,0.519
61,My Big Fat Greek Wedding 3,35170700,26673700,0.758,8497000,0.242
62,Strays,34742800,23988885,0.69,10753915,0.31
63,Alibi.com 2,34009747,0,0,34009747,1
64,Saw X,33243728,21943728,0.66,11300000,0.34
65,The Three Musketeers: D'Artagnan,31188574,0,0,31188574,1
66,Tokyo MER,30226383,0,0,30226383,1
67,BTS: Yet to Come in Cinemas,29291883,8093270,0.276,21198613,0.724
68,Book Club: The Next Chapter,28936404,17556340,0.607,11380064,0.393
69,Concrete Utopia,28714495,0,0,28714495,1
70,Jawan,26779538,14600569,0.545,12178969,0.455
71,Renfield,26348325,17152625,0.651,9195700,0.349
72,Expend4bles,23100109,13890402,0.601,9209707,0.399
73,The Challenge,22100836,0,0,22100836,1
74,The Last Voyage of the Demeter,21680033,13637180,0.629,8042853,0.371
75,The Covenant,21632392,16938039,0.783,4694353,0.217
76,"Are You There God? It's Me, Margaret.",21464043,20372406,0.949,1091637,0.051
77,The House of No Man,19490980,0,0,19490980,1
78,My Happy Marriage,19439523,0,0,19439523,1
79,Champions,18906455,16271910,0.861,2634545,0.139
80,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,18376869,0,0,18376869,1
81,The Blackening,18169453,17707207,0.975,462246,0.025
82,About My Father,18167819,12089391,0.665,6078428,0.335
83,Tokyo Revengers 2: Bloody Halloween - Destiny,17216567,0,0,17216567,1
84,Shin Jigen! Crayon Shin-chan the Movie,16917643,0,0,16917643,1
85,Mavka: The Forest Song,16905744,0,0,16905744,1
86,The Legend & Butterfly,16087771,0,0,16087771,1
87,Die drei ??? - Erbe des Drachen,15860016,0,0,15860016,1
88,Shin Kamen Rider,15787771,0,0,15787771,1
89,Joy Ride,15782536,12897789,0.817,2884747,0.183
90,Retribution,15602756,6924212,0.444,8678544,0.556
91,A Guilty Conscience,14914575,0,0,14914575,1
92,Tokyo Revengers 2: Bloody Halloween - Decisive Battle,14584970,0,0,14584970,1
93,Rehragout Rendezvous,14127069,0,0,14127069,1
94,Sisu,14079760,7265622,0.516,6814138,0.484
95,Don't Call it Mystery: The Movie,13763276,0,0,13763276,1
96,Past Lives,13577965,10923569,0.805,2654396,0.195
97,The Point Men,13433834,0,0,13433834,1
98,Epic Tails,13206229,0,0,13206229,1
99,"Manta, Manta - Zwoter Teil",13076716,0,0,13076716,1
100,Love Again,12696584,6230837,0.491,6465747,0.509
101,His Only Son,12469959,12084084,0.969,385875,0.031
102,Jeanne du Barry,12466706,0,0,12466706,1
103,Hypnotic,12328503,4500169,0.365,7828334,0.635
104,Bottoms,11677019,11677019,1,0,0
105,Face Off 6: The Ticket of Destiny,11538081,0,0,11538081,1
106,Beau Is Afraid,11480078,8176562,0.712,3303516,0.288
107,What's Love Got to Do with It?,11108409,0,0,11108409,1
108,Samurai Beyond Admiration Record to the World's Best,10876188,0,0,10876188,1
109,Campeonex,10860893,0,0,10860893,1
110,The Machine,10664328,10458331,0.981,205997,0.019
111,Honey Sweet,10255337,0,0,10255337,1
112,Sun and Concrete,10119958,0,0,10119958,1
113,The Crime Is Mine,10103219,0,0,10103219,1
114,Sleep,9350175,0,0,9350175,1
115,House Party,9284647,9002247,0.97,282400,0.03
116,Kandahar,9189524,4813132,0.524,4376392,0.476
117,All Your Faces,9056053,0,0,9056053,1
118,The Wandering Earth II,8854786,5023132,0.567,3831654,0.433
119,Dumb Money,8682762,7889907,0.909,792855,0.091
120,After Everything,8669883,0,0,8669883,1
121,Father & Soldier,8597034,0,0,8597034,1
122,Anatomy of a Fall,8536461,0,0,8536461,1
123,Dream,8317251,0,0,8317251,1
124,Vacaciones de verano,8159016,0,0,8159016,1
125,Ransomed,8101634,142101,0.018,7959533,0.982
126,Sur les chemins noirs,7964795,0,0,7964795,1
127,The Hill,7665865,7665865,1,0,0
128,Ichikei's Crow,7377092,0,0,7377092,1
129,Star Wars: Episode VI - Return of the Jedi 2023 Re-release,7259924,7259924,1,0,0
130,Cats in the Museum,7196250,0,0,7196250,1
131,Coraline 2023 Re-release (remastered),7149366,7149366,1,0,0
132,Les petites victoires,7056157,0,0,7056157,1
133,Knights of the Zodiac,6986177,1090155,0.156,5896022,0.844
134,Beautiful Disaster,6850036,0,0,6850036,1
135,The Jungle Bunch 2: World Tour,6839503,0,0,6839503,1
136,Pravednik,6758440,0,0,6758440,1
137,A Brighter Tomorrow,6363073,0,0,6363073,1
138,The Blind,6352379,6352379,1,0,0
139,Rafadan Tayfa Galaktik Tayfa,6309160,0,0,6309160,1
140,Kishibe Rohan R?vuru e iku,6292792,0,0,6292792,1
141,Marlowe,6276005,4350243,0.693,1925762,0.307
142,Little Bird: The Big Quest,6253676,0,0,6253676,1
143,Mafia Mamma,6120609,3496761,0.571,2623848,0.429
144,Life for Real,6116307,0,0,6116307,1
145,"And Yet, You Are So Sweet",6099393,0,0,6099393,1
146,Big George Foreman,6031202,5426772,0.9,604430,0.1
147,The Childe,5934764,102021,0.017,5832743,0.983
148,Cobweb,5760572,0,0,5760572,1
149,Blue Giant,5742116,0,0,5742116,1
150,PreCure All Stars F,5707310,0,0,5707310,1
151,The Devil's Deal,5702702,0,0,5702702,1
152,You Hurt My Feelings,5698637,4830788,0.848,867849,0.152
153,Rocky Aur Rani Kii Prem Kahaani,5624625,0,0,5624625,1
154,Infelices para Siempre,5602272,0,0,5602272,1
155,The Chosen Season 3 Finale,5589142,5525069,0.989,64073,0.011
156,10 jours encore sans maman,5583034,0,0,5583034,1
157,Off the Rails,5467591,0,0,5467591,1
158,Nefarious,5433685,5433685,1,0,0
159,Baba Yaga spasyot mir,5379552,0,0,5379552,1
160,Detective Conan: Episode of Ai Haibara - Black Iron Mystery Train,5336693,0,0,5336693,1
161,City Hunter the Movie: Angel Dust,5330857,0,0,5330857,1
162,The Unlikely Pilgrimage of Harold Fry,5212699,0,0,5212699,1
163,Les blagues de Toto 2 - Classe verte,5206007,0,0,5206007,1
164,Infinity Pool,5183424,5078400,0.98,105024,0.02
165,?Vaya vacaciones!,5176254,0,0,5176254,1
166,Phantom,5173638,0,0,5173638,1
167,Hustler vs Scammer (Sieu Lua Gap Sieu Lay),5166455,0,0,5166455,1
168,Rebound,5145202,0,0,5145202,1
169,It Lives Inside,5116986,4238301,0.828,878685,0.172
170,Chi Chi Em Em 2,5109674,0,0,5109674,1
171,Shylock's Children,5102646,0,0,5102646,1
172,Golda,5060592,4690207,0.927,370385,0.073
173,Allelujah,5035719,0,0,5035719,1
174,Ponniyin Selvan: Part Two,5035633,3813000,0.757,1222633,0.243
175,Me contro Te - il Film: Missione Giungla,5031684,0,0,5031684,1
176,Just the Two of Us,5017924,0,0,5017924,1
177,Someday or One Day,5009619,0,0,5009619,1
178,The Moon,4999121,92718,0.019,4906403,0.981
179,Winnie the Pooh: Blood and Honey,4941200,1750639,0.354,3190561,0.646
180,Jailer,4817871,0,0,4817871,1
181,Emergency Landing,4752283,0,0,4752283,1
182,ONEMANSHOW: The Movie,4672939,0,0,4672939,1
183,SSSS.Gridman,4636916,0,0,4636916,1
184,Sage homme,4613332,0,0,4613332,1
185,Last Night of Amore,4580566,3865,0,4576701,0.999
186,2018,4547765,0,0,4547765,1
187,IM HERO THE FINAL,4514656,0,0,4514656,1
188,Mari(dos),4483495,0,0,4483495,1
189,Maamannan,4463992,0,0,4463992,1
190,Maybe I Do,4450096,1293722,0.291,3156374,0.709
191,A Great Friend,4414987,0,0,4414987,1
192,Nyurnberg,4354380,0,0,4354380,1
193,The Book of Wonders,4324164,0,0,4324164,1
194,When Will It Be Again Like It Never Was Before,4282908,0,0,4282908,1
195,?Que viva M¨¦xico!,4218942,161222,0.038,4057720,0.962
196,Theater Camp,4215783,4009945,0.951,205838,0.049
197,Les vengeances de Ma?tre Poutifard,4125890,0,0,4125890,1
198,Marry My Dead Body,4045026,0,0,4045026,1
199,Tu Jhoothi Main Makkaar,4035915,2503604,0.62,1532311,0.38
200,Touken Ranbu 2,4025574,0,0,4025574,1
